popular,Mean,Min,Max,Range,SD
abstract nouns,29.21,5.42,93.47,88.05,19.35
average clause length,7.37,4.8,11.52,6.72,1.31
average clause length SD,4.62,2.73,9.11,6.38,1.38
amplifiers,12.7,4.69,29.11,24.42,4.6
monosyllabic negation,10.88,1.16,21.22,20.06,5.24
average sentence length,25.67,15.15,42.29,27.14,6.33
auxiliary adjectives,3.75,0,10.3,10.3,1.79
average word length,1.47,1.3,1.61,0.31,0.07
BE,15.61,7.05,26.6,19.55,4.12
disyllabic prepositions,1.94,0,5.55,5.55,1.33
classical function words,4.66,0.39,17.33,16.94,3.63
classifiers,29.47,13.4,49.35,35.95,9.19
conditional conjuncts,3.22,0.35,10.9,10.55,2.08
demonstrative pronouns,18.32,6.06,31.53,25.47,5.73
descriptive words,2.23,0,10.02,10.02,1.9
disyllabic words,16.67,2.71,45.97,43.26,10.17
downtoners,1.5,0,4.61,4.61,1.19
existential,6.53,1.32,12.84,11.52,2.95
exclamation,1.88,0,14.32,14.32,3.35
first-person pronouns,14.58,0,58.05,58.05,14.51
hedges,3.82,0,12.15,12.15,2.81
honourifics,2.38,0,10.84,10.84,2.35
HSK 1,238.09,147.5,321.92,174.42,43.13
HSK 3,146.92,72.84,253.16,180.32,34.86
HSK 6,155.93,96.45,279.77,183.32,45.73
imperfect markers,16.88,2.89,31.66,28.77,6.31
indefinite pronouns,3.39,0,14.03,14.03,2.59
interrogative,5.18,0.39,14.19,13.8,3.15
lexical density,546.62,452.7,674.31,221.61,47.16
modifying adverbs,23.26,10.95,38.16,27.21,6.36
complement marker de,2.03,0,4.57,4.57,1.2
adverbial marker di,3.15,0,12.75,12.75,2.62
monosyllabic verbs,38.71,13.48,60.69,47.21,10.88
consecutive nouns,35.95,12.75,69.83,57.08,16.62
nominalisation,28.24,9.03,68.12,59.09,12.55
nouns excl. nominalisation,192.37,117.5,292.2,174.7,48.8
other_personal,4.5,0,25.12,25.12,4.56
particle,8.49,0,31,31,7.22
PEAS,12.16,1.32,38.69,37.37,6.19
performative_verb,0.44,0,2.59,2.59,0.7
person,9.08,0,41.75,41.75,9.83
phrasal coordination,10.36,0.39,25.04,24.65,5.53
private verbs,15.54,3.48,25.74,22.26,5.62
public verbs,5.22,0.43,13.69,13.26,3.09
question,4.14,0,18.68,18.68,3.73
adverbs,71.31,35.6,99.78,64.18,16.72
simile,2.57,0,13.87,13.87,2.26
seem/appear,0.57,0,3.14,3.14,0.76
second-person pronouns,6.27,0,30.41,30.41,7.21
disyllabic negation,2.32,0,8.37,8.37,1.7
third-person pronouns,14.79,1.24,61.3,60.06,12.35
unique words,231.75,133.9,299.37,165.47,39.55
WH-words,2.22,0,7.38,7.38,1.63