romance,Mean,Min,Max,Range,SD
abstract nouns,15.29,5.14,24.81,19.67,5.22
average clause length,6.43,5.08,9.19,4.11,0.98
average clause length SD,3.64,2.54,5.35,2.81,0.66
amplifiers,14.15,5.43,24.67,19.24,4.38
monosyllabic negation,15.14,6.88,23.96,17.08,4.24
average sentence length,22.96,12.38,38.8,26.42,6.31
auxiliary adjectives,3.35,0.41,6.84,6.43,1.48
average word length,1.39,1.3,1.5,0.2,0.06
BE,15.07,8.78,28.47,19.69,4.77
disyllabic prepositions,0.88,0,2.99,2.99,0.82
classical function words,2.64,0,9.58,9.58,2.36
classifiers,31.06,22.18,46.67,24.49,6.07
conditional conjuncts,2.88,0.39,7.27,6.88,1.37
demonstrative pronouns,19.56,13.25,27.8,14.55,4.19
descriptive words,3.6,0,9.02,9.02,2.27
disyllabic words,7.89,2.51,19.97,17.46,4.2
downtoners,1.79,0,4.52,4.52,1.06
existential,5.33,1.57,12.3,10.73,2.37
exclamation,3.05,0,12.17,12.17,3.5
first-person pronouns,15.94,0,50.7,50.7,14.56
hedges,1.78,0,3.68,3.68,0.92
honourifics,2.71,0,11.09,11.09,2.73
HSK 1,268.79,190.42,358.95,168.53,37.54
HSK 3,162.18,106.06,230.1,124.04,25.98
HSK 6,117.47,88.09,157.7,69.61,18.97
imperfect markers,19.71,8.54,36.47,27.93,6.79
indefinite pronouns,3.75,1.27,7.96,6.69,1.76
interrogative,6.29,2.94,15.53,12.59,2.72
lexical density,522.72,479.77,590.15,110.38,26.53
modifying adverbs,27.75,13.57,42.45,28.88,5.78
complement marker de,2.95,0.73,5.09,4.36,1.17
adverbial marker di,5.11,0.4,9.39,8.99,2.54
monosyllabic verbs,51.55,35.41,73.63,38.22,8.68
consecutive nouns,24.1,12.5,43.01,30.51,7.19
nominalisation,17.98,10.67,28.47,17.8,4.97
nouns excl. nominalisation,160.86,112.51,210.83,98.32,27.62
other_personal,3.9,0.39,10.93,10.54,2.62
particle,14.77,2.17,29.18,27.01,6.19
PEAS,16.21,8.87,24.37,15.5,3.96
performative_verb,0.03,0,0.43,0.43,0.1
person,20.97,1.18,50.08,48.9,11.07
phrasal coordination,5.45,1.54,14.81,13.27,3.13
private verbs,18.86,10.86,27.85,16.99,5.04
public verbs,9.45,1.74,22.98,21.24,5.48
question,5.76,0.87,14.27,13.4,3.5
adverbs,82.2,57.46,110.55,53.09,12.6
simile,3.34,0.36,8.5,8.14,2.14
seem/appear,0.87,0,2.93,2.93,0.83
second-person pronouns,7.88,0,20.95,20.95,5.98
disyllabic negation,2.21,0,5.88,5.88,1.51
third-person pronouns,25.41,8.74,45.42,36.68,10.38
unique words,237.29,155.38,301.01,145.63,38.61
WH-words,2.24,0,6.3,6.3,1.32